conversation,character,personality,category,profession,turn,opinion,topic
conversation_0,Jackson Moore,ESTP,Moderately Rigid,Paramedic,0,1,Universal basic income should replace traditional welfare systems.
conversation_0,Jackson Moore,ESTP,Moderately Rigid,Paramedic,1,0.6,Universal basic income should replace traditional welfare systems.
conversation_0,Jackson Moore,ESTP,Moderately Rigid,Paramedic,2,0.3,Universal basic income should replace traditional welfare systems.
conversation_0,Jackson Moore,ESTP,Moderately Rigid,Paramedic,3,-0.4,Universal basic income should replace traditional welfare systems.
conversation_0,Jackson Moore,ESTP,Moderately Rigid,Paramedic,4,0.6,Universal basic income should replace traditional welfare systems.
conversation_0,Jackson Moore,ESTP,Moderately Rigid,Paramedic,5,-0.3,Universal basic income should replace traditional welfare systems.
conversation_0,Jackson Moore,ESTP,Moderately Rigid,Paramedic,6,0,Universal basic income should replace traditional welfare systems.
conversation_0,Ethan Blake,ENTJ,Highy rigid,Corporate Executive,0,-1,Universal basic income should replace traditional welfare systems.
conversation_0,Ethan Blake,ENTJ,Highy rigid,Corporate Executive,1,1,Universal basic income should replace traditional welfare systems.
conversation_0,Ethan Blake,ENTJ,Highy rigid,Corporate Executive,2,-0.3,Universal basic income should replace traditional welfare systems.
conversation_0,Ethan Blake,ENTJ,Highy rigid,Corporate Executive,3,0.7,Universal basic income should replace traditional welfare systems.
conversation_0,Ethan Blake,ENTJ,Highy rigid,Corporate Executive,4,-0.2,Universal basic income should replace traditional welfare systems.
conversation_0,Ethan Blake,ENTJ,Highy rigid,Corporate Executive,5,1,Universal basic income should replace traditional welfare systems.
conversation_0,Ethan Blake,ENTJ,Highy rigid,Corporate Executive,6,-0.3,Universal basic income should replace traditional welfare systems.
conversation_0,Natalie Cooper,ESFJ,Moderately Flexible,Elementary School Teacher,0,1,Universal basic income should replace traditional welfare systems.
conversation_0,Natalie Cooper,ESFJ,Moderately Flexible,Elementary School Teacher,1,0.3,Universal basic income should replace traditional welfare systems.
conversation_0,Natalie Cooper,ESFJ,Moderately Flexible,Elementary School Teacher,2,1,Universal basic income should replace traditional welfare systems.
conversation_0,Natalie Cooper,ESFJ,Moderately Flexible,Elementary School Teacher,3,-0.3,Universal basic income should replace traditional welfare systems.
conversation_0,Natalie Cooper,ESFJ,Moderately Flexible,Elementary School Teacher,4,0.6,Universal basic income should replace traditional welfare systems.
conversation_0,Natalie Cooper,ESFJ,Moderately Flexible,Elementary School Teacher,5,1,Universal basic income should replace traditional welfare systems.
conversation_0,Natalie Cooper,ESFJ,Moderately Flexible,Elementary School Teacher,6,1,Universal basic income should replace traditional welfare systems.
conversation_0,Chloe Rivera,ESFP,Highly Flexible,Interior Designer,0,-1,Universal basic income should replace traditional welfare systems.
conversation_0,Chloe Rivera,ESFP,Highly Flexible,Interior Designer,1,0,Universal basic income should replace traditional welfare systems.
conversation_0,Chloe Rivera,ESFP,Highly Flexible,Interior Designer,2,0.6,Universal basic income should replace traditional welfare systems.
conversation_0,Chloe Rivera,ESFP,Highly Flexible,Interior Designer,3,0,Universal basic income should replace traditional welfare systems.
conversation_0,Chloe Rivera,ESFP,Highly Flexible,Interior Designer,4,0,Universal basic income should replace traditional welfare systems.
conversation_0,Chloe Rivera,ESFP,Highly Flexible,Interior Designer,5,0,Universal basic income should replace traditional welfare systems.
conversation_0,Chloe Rivera,ESFP,Highly Flexible,Interior Designer,6,0,Universal basic income should replace traditional welfare systems.
conversation_1,Aiden Murphy,ISTJ,Highy rigid,IT Support Specialist,0,1,Universal basic income should replace traditional welfare systems.
conversation_1,Aiden Murphy,ISTJ,Highy rigid,IT Support Specialist,1,-0.5,Universal basic income should replace traditional welfare systems.
